transactionId;partner;totalValue
97848296;Triggit;219.73
97836496;Criteo;105.73
97829496;Criteo;189.9
97829296;Criteo;179.9
97827496;Criteo;199.0
97822496;Sociomantic;559.8
97818496;Criteo;179.9
97813366;Criteo;159.9
97796296;Criteo;209.9
97787296;Criteo;139.9
97773496;Vizury;69.73
97772496;Criteo;109.9
97746296;Criteo;249.9
97742496;Criteo;103.81
97739496;Criteo;164.9
97736296;Criteo;439.8
97732496;Criteo;139.8
97727496;Criteo;203.7
97714296;Criteo;99.9
97677296;Criteo;288.9
97675496;Criteo;328.9
97659296;Triggit;114.8
97642496;Criteo;109.8
97619296;Criteo;119.8
97612296;Mainadv;106.73
97592496;Criteo;135.82
97585296;Criteo;129.9
97581496;Criteo;39.9
97569496;Criteo;44.81
97556496;Sociomantic;64.81
97554496;Triggit;129.8
97552296;Criteo;289.9
97548496;Triggit;182.8
97542496;Criteo;105.8
97524496;Triggit;179.0
97517296;Criteo;249.9
97516296;Criteo;139.9
97513366;Criteo;47.81
97496296;Triggit;159.8
97487296;Criteo;219.9
97486296;Criteo;99.9
97482296;Criteo;399.9
97477496;Criteo;539.53
97476496;Criteo;291.8
97474296;Criteo;718.77
97469496;Criteo;109.9
97442296;Criteo;74.81
97429496;Criteo;119.0
97427496;Criteo;105.73
97419296;Criteo;129.8
97417296;Triggit;69.73
97411496;Vizury;55.71
97396296;Triggit;271.8
97381496;Triggit;389.9
97376296;Sociomantic;100.73
97374496;Sociomantic;99.9
97373366;Triggit;1255.8
97354296;Triggit;144.95
97352296;Criteo;111.7
97339296;Criteo;40.73
97336496;Triggit;99.9
97325296;Criteo;129.9
97317296;Criteo;99.9
97296296;Triggit;224.9
97288496;Criteo;399.9
97271496;Sociomantic;98.86
97269296;Criteo;87.27
97267296;Criteo;199.9
97266496;Criteo;219.9
97257296;Sociomantic;104.07
97239296;Criteo;72.73
97235496;Criteo;119.9
97234296;Criteo;219.9
97233366;Criteo;83.05
97221496;Triggit;211.7
97218496;Criteo;981.53
97214296;Triggit;119.9
97212296;Criteo;180.63
97196296;Criteo;94.81
97187496;Criteo;78.83
97184496;Criteo;337.85
97183496;Criteo;161.8
97172496;Criteo;139.9
97159296;Triggit;239.9
97151496;Criteo;139.9
97148496;Criteo;85.71
97145296;Criteo;88.73
97129296;Criteo;56.05
97124496;Triggit;129.9
97119496;Criteo;289.0
97115496;Criteo;50.73
97114496;Triggit;359.0
96992496;Sociomantic;99.9
96992296;Criteo;219.9
96973496;Criteo;243.83
96969496;Criteo;60.81
96969296;Criteo;189.9
96958296;Criteo;149.9
96946496;Criteo;169.9
96927496;Triggit;73.81
96922296;Triggit;164.95
96921496;Criteo;139.9
96914296;Criteo;243.0
96911496;Criteo;16.81
96892296;Criteo;74.81
96891496;Triggit;329.9
96878296;Criteo;86.81
96861496;Criteo;179.9
96843496;Criteo;339.6
96842296;Criteo;227.8
96829296;Criteo;142.8
96828296;Criteo;102.9
96826296;Criteo;289.9
96819296;Criteo;449.8
96814296;Criteo;139.9
96788296;Criteo;129.0
96785296;Criteo;169.9
96772296;Triggit;212.73
96769296;Triggit;89.9
96764296;Criteo;158.73
96757496;Criteo;109.9
96751496;Criteo;352.0
96748296;Criteo;754.73
96745496;Criteo;139.0
96744496;Criteo;94.81
96736296;Triggit;68.34
96732496;Criteo;99.9
96725296;Triggit;169.9
96722496;Criteo;81.73
96714496;Criteo;159.9
96712496;Criteo;62.81
96699496;Sociomantic;179.9
96692296;Criteo;2275.7
96683496;Mainadv;57.86
96645496;Criteo;253.7
96631496;Criteo;87.73
96628296;Criteo;96.27
96624496;Criteo;181.8
96623496;Criteo;84.81
96619296;Criteo;149.9
96614296;Triggit;189.73
96612496;Vizury;189.9
96589496;Criteo;119.9
96588296;Criteo;139.8
96586296;Criteo;44.81
96582296;Criteo;99.9
96578296;Criteo;94.81
96577496;Criteo;181.8
